"index","shortname","name","unicode","unicode_encoded","aliases","image"
"1377",":place_of_worship:","place of worship","1f6d0","🛐",":worship_symbol:","!https://cdn.jsdelivr.net/emojione/assets/png/1f6d0.png?v=2.2.7!"
"1378",":atom:","atom symbol","269b","⚛",":atom_symbol:","!https://cdn.jsdelivr.net/emojione/assets/png/269b.png?v=2.2.7!"
"1379",":om_symbol:","om symbol","1f549","🕉","","!https://cdn.jsdelivr.net/emojione/assets/png/1f549.png?v=2.2.7!"
"1380",":star_of_david:","star of david","2721","✡","","!https://cdn.jsdelivr.net/emojione/assets/png/2721.png?v=2.2.7!"
"1381",":wheel_of_dharma:","wheel of dharma","2638","☸","","!https://cdn.jsdelivr.net/emojione/assets/png/2638.png?v=2.2.7!"
"1382",":yin_yang:","yin yang","262f","☯","","!https://cdn.jsdelivr.net/emojione/assets/png/262f.png?v=2.2.7!"
"1383",":cross:","latin cross","271d","✝",":latin_cross:","!https://cdn.jsdelivr.net/emojione/assets/png/271d.png?v=2.2.7!"
"1384",":orthodox_cross:","orthodox cross","2626","☦","","!https://cdn.jsdelivr.net/emojione/assets/png/2626.png?v=2.2.7!"
"1385",":star_and_crescent:","star and crescent","262a","☪","","!https://cdn.jsdelivr.net/emojione/assets/png/262a.png?v=2.2.7!"
"1386",":peace:","peace symbol","262e","☮",":peace_symbol:","!https://cdn.jsdelivr.net/emojione/assets/png/262e.png?v=2.2.7!"
"1387",":menorah:","menorah with nine branches","1f54e","🕎","","!https://cdn.jsdelivr.net/emojione/assets/png/1f54e.png?v=2.2.7!"
"1388",":six_pointed_star:","six pointed star with middle dot","1f52f","🔯","","!https://cdn.jsdelivr.net/emojione/assets/png/1f52f.png?v=2.2.7!"
"1389",":aries:","aries","2648","♈","","!https://cdn.jsdelivr.net/emojione/assets/png/2648.png?v=2.2.7!"
"1390",":taurus:","taurus","2649","♉","","!https://cdn.jsdelivr.net/emojione/assets/png/2649.png?v=2.2.7!"
"1391",":gemini:","gemini","264a","♊","","!https://cdn.jsdelivr.net/emojione/assets/png/264a.png?v=2.2.7!"
"1392",":cancer:","cancer","264b","♋","","!https://cdn.jsdelivr.net/emojione/assets/png/264b.png?v=2.2.7!"
"1393",":leo:","leo","264c","♌","","!https://cdn.jsdelivr.net/emojione/assets/png/264c.png?v=2.2.7!"
"1394",":virgo:","virgo","264d","♍","","!https://cdn.jsdelivr.net/emojione/assets/png/264d.png?v=2.2.7!"
"1395",":libra:","libra","264e","♎","","!https://cdn.jsdelivr.net/emojione/assets/png/264e.png?v=2.2.7!"
"1396",":scorpius:","scorpius","264f","♏","","!https://cdn.jsdelivr.net/emojione/assets/png/264f.png?v=2.2.7!"
"1397",":sagittarius:","sagittarius","2650","♐","","!https://cdn.jsdelivr.net/emojione/assets/png/2650.png?v=2.2.7!"
"1398",":capricorn:","capricorn","2651","♑","","!https://cdn.jsdelivr.net/emojione/assets/png/2651.png?v=2.2.7!"
"1399",":aquarius:","aquarius","2652","♒","","!https://cdn.jsdelivr.net/emojione/assets/png/2652.png?v=2.2.7!"
"1400",":pisces:","pisces","2653","♓","","!https://cdn.jsdelivr.net/emojione/assets/png/2653.png?v=2.2.7!"
"1401",":ophiuchus:","ophiuchus","26ce","⛎","","!https://cdn.jsdelivr.net/emojione/assets/png/26ce.png?v=2.2.7!"
"1402",":twisted_rightwards_arrows:","twisted rightwards arrows","1f500","🔀","","!https://cdn.jsdelivr.net/emojione/assets/png/1f500.png?v=2.2.7!"
"1403",":repeat:","clockwise rightwards and leftwards open circle arrows","1f501","🔁","","!https://cdn.jsdelivr.net/emojione/assets/png/1f501.png?v=2.2.7!"
"1404",":repeat_one:","clockwise rightwards and leftwards open circle arrows with circled one overlay","1f502","🔂","","!https://cdn.jsdelivr.net/emojione/assets/png/1f502.png?v=2.2.7!"
"1405",":arrow_forward:","black right-pointing triangle","25b6","▶","","!https://cdn.jsdelivr.net/emojione/assets/png/25b6.png?v=2.2.7!"
"1406",":fast_forward:","black right-pointing double triangle","23e9","⏩","","!https://cdn.jsdelivr.net/emojione/assets/png/23e9.png?v=2.2.7!"
